guideline,consensus,pyr,mirp,cerr,flash
GLDZM: Zone percentage,3-5,,dzm_z_perc,,original_gldzm_ZonePercentage
GLDZM: Grey level variance,3-5,,dzm_gl_var,,original_gldzm_GrayLevelVariance
GLDZM: Zone distance variance,3-5,,dzm_zd_var,,original_gldzm_ZoneDistanceVariance
GLDZM: Zone distance entropy,3-5,,dzm_zd_entr,,original_gldzm_ZoneDistanceEntropy
NGTDM: Coarseness,6-9,Coarseness,ngt_coarseness,Coarseness,original_ngtdm_Coarseness
NGTDM: Contrast,6-9,Contrast,ngt_contrast,Contrast,original_ngtdm_Contrast
NGTDM: Busyness,6-9,Busyness,ngt_busyness,Busyness,original_ngtdm_Busyness
NGTDM: Complexity,6-9,Complexity,ngt_complexity,Complexity,original_ngtdm_Complexity
NGTDM: Strength,6-9,Strength,ngt_strength,Strength,original_ngtdm_Strength
NGLDM: Low dependence emphasis,6-9,SmallDependenceEmphasis,ngl_lde,,original_gldm_SmallDependenceEmphasis
NGLDM: High dependence emphasis,6-9,LargeDependenceEmphasis,ngl_hde,,original_gldm_LargeDependenceEmphasis
NGLDM: Low grey level count emphasis,6-9,LowGrayLevelEmphasis,ngl_lgce,,original_gldm_LowGrayLevelEmphasis
NGLDM: High grey level count emphasis,6-9,HighGrayLevelEmphasis,ngl_hgce,,original_gldm_HighGrayLevelEmphasis
NGLDM: Low dependence low grey level emphasis,6-9,SmallDependenceLowGrayLevelEmphasis,ngl_ldlge,,original_gldm_SmallDependenceLowGrayLevelEmphasis
NGLDM: Low dependence high grey level emphasis,6-9,SmallDependenceHighGrayLevelEmphasis,ngl_ldhge,,original_gldm_SmallDependenceHighGrayLevelEmphasis
NGLDM: High dependence low grey level emphasis,6-9,LargeDependenceLowGrayLevelEmphasis,ngl_hdlge,,original_gldm_LargeDependenceLowGrayLevelEmphasis
NGLDM: High dependence high grey level emphasis,6-9,LargeDependenceHighGrayLevelEmphasis,ngl_hdhge,,original_gldm_LargeDependenceHighGrayLevelEmphasis
NGLDM: Grey level non-uniformity,6-9,GrayLevelNonUniformity,ngl_glnu,,original_gldm_GrayLevelNonUniformity
NGLDM: Normalised grey level non-uniformity,6-9,,ngl_glnu_norm,,original_gldm_GrayLevelNonUniformityNormalized
NGLDM: Dependence count non-uniformity,6-9,DependenceNonUniformity,ngl_dcnu,,original_gldm_DependenceNonUniformity
NGLDM: Normalised dependence count non-uniformity,6-9,DependenceNonUniformityNormalized,ngl_dcnu_norm,,original_gldm_DependenceNonUniformityNormalized
NGLDM: Dependence count percentage,3-5,,ngl_dc_perc,,original_gldm_DependenceCountPercentage
NGLDM: Grey level variance,6-9,GrayLevelVariance,ngl_gl_var,,original_gldm_GrayLevelVariance
NGLDM: Dependence count variance,6-9,DependenceVariance,ngl_dc_var,,original_gldm_DependenceVariance
NGLDM: Dependence count entropy,6-9,DependenceEntropy,ngl_dc_entr,,original_gldm_DependenceEntropy
NGLDM: Dependence count energy,3-5,,ngl_dc_energy,,original_gldm_DependenceCountEnergy
